domain,aspect,sentiment,tweet_text
smartphones,battery life,negative,This smartphones seriously dropped the ball on battery life.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
e-commerce,customer support,positive,Totally satisfied with the customer support—solid upgrade for the e-commerce.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
streaming services,ads,neutral,"The ads on the streaming services is okay, I guess."
e-commerce,product quality,positive,"Hands down, this is the best product quality I've experienced with any e-commerce."
smartphones,performance,positive,"Hands down, this is the best performance I've experienced with any smartphones."
ride-sharing,car cleanliness,positive,The car cleanliness on this ride-sharing exceeded all expectations.
e-commerce,refund policy,neutral,"The e-commerce's refund policy does the job, nothing exciting."
restaurants,price,negative,The price totally ruined my experience with this restaurants.
restaurants,price,positive,Absolutely loving the price of my new restaurants.
streaming services,app experience,negative,The app experience totally ruined my experience with this streaming services.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
e-commerce,refund policy,positive,"Hands down, this is the best refund policy I've experienced with any e-commerce."
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
restaurants,ambience,positive,The ambience on this restaurants exceeded all expectations.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
streaming services,video quality,negative,Really disappointed by the video quality in this streaming services.
ride-sharing,car cleanliness,neutral,"The ride-sharing's car cleanliness does the job, nothing exciting."
streaming services,content variety,neutral,Not much to say about the content variety—it's just fine.
e-commerce,product quality,negative,This e-commerce seriously dropped the ball on product quality.
smartphones,performance,negative,Wish the performance on this smartphones was better.
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
streaming services,video quality,negative,Still can't get over how bad the video quality is on this streaming services.
e-commerce,customer support,negative,Really disappointed by the customer support in this e-commerce.
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
streaming services,content variety,neutral,"Honestly, the content variety feels pretty average for a streaming services."
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
ride-sharing,car cleanliness,positive,The car cleanliness on this ride-sharing exceeded all expectations.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
restaurants,food quality,positive,Totally satisfied with the food quality—solid upgrade for the restaurants.
smartphones,screen,negative,Wish the screen on this smartphones was better.
smartphones,design,neutral,"Honestly, the design feels pretty average for a smartphones."
smartphones,performance,positive,Totally satisfied with the performance—solid upgrade for the smartphones.
e-commerce,product quality,negative,Really disappointed by the product quality in this e-commerce.
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
smartphones,design,positive,Totally satisfied with the design—solid upgrade for the smartphones.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
restaurants,service,neutral,No real complaints or praise for the service of this restaurants.
restaurants,price,neutral,"The price on the restaurants is okay, I guess."
streaming services,content variety,neutral,"The streaming services's content variety does the job, nothing exciting."
